backgroundImages,endDate,eventUrl,description,listingType,eventAdmin,preProduction,autoAssociateVod,title,tags,lobbyTimeMinutes,unlisted,shortcutName,shortcutNameUrl,linkedVideoId,id,categories,startDate,estimatedAttendees,redirectVod
[],2018-01-08T12:30:00Z,https://cerner.rev.vbrick.com/#/events/90927525-92f7-4d62-88b1-90c3d955f5b2,"<p>Livestream equipment testing</p>",Private,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test-1,[],15,false,null,null,null,90927525-92f7-4d62-88b1-90c3d955f5b2,[],2018-01-08T11:30:00Z,0,false
[],2018-01-08T21:10:00Z,https://cerner.rev.vbrick.com/#/events/453c09d2-9c5e-4a40-9ac4-221b990cac5d,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Q4 2017 Population Health Demo,[],15,false,null,null,null,453c09d2-9c5e-4a40-9ac4-221b990cac5d,[],2018-01-08T14:00:00Z,0,false
[],2018-01-09T20:00:00Z,https://cerner.rev.vbrick.com/#/events/b2ce540c-a34b-4161-aa8d-3136b01c5070,,Private,"{name:Donnie Breish,id:8e3d2b39-6446-432e-895f-9e826e58c1b8,username:db043793}",null,false,Round Test,[],15,false,null,null,null,b2ce540c-a34b-4161-aa8d-3136b01c5070,[],2018-01-09T19:00:00Z,0,false
[],2018-01-10T12:00:00Z,https://cerner.rev.vbrick.com/#/events/de776377-ca6c-44a2-a6ee-8f8c1bee0498,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,India Test stream,[],15,false,null,null,null,de776377-ca6c-44a2-a6ee-8f8c1bee0498,[],2018-01-10T00:00:00Z,0,false
[],2018-01-10T20:45:00Z,https://cerner.rev.vbrick.com/#/events/9fc95fea-7830-47e2-b76c-1d410cd8e897,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Q1 Cycle Review – Option 1 of 4,[],15,false,null,null,null,9fc95fea-7830-47e2-b76c-1d410cd8e897,[],2018-01-10T18:45:00Z,0,false
[],2018-01-11T15:15:00Z,https://cerner.rev.vbrick.com/#/events/bdb536f6-8f6b-4927-8130-a42e143470bb,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Q1 Cycle Review – Option 2 of 4,[],15,false,null,null,null,bdb536f6-8f6b-4927-8130-a42e143470bb,[],2018-01-11T13:45:00Z,0,false
[],2018-01-12T15:10:00Z,https://cerner.rev.vbrick.com/#/events/08004838-4682-42fa-8788-58e5dfc854ac,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Q1 Cycle Review – Option 3 of 4,[],15,false,null,null,null,08004838-4682-42fa-8788-58e5dfc854ac,[],2018-01-12T13:45:00Z,0,false
[],2018-01-12T20:05:00Z,https://cerner.rev.vbrick.com/#/events/a5f477c8-4e0a-47f5-87c4-f52cee393054,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Q1 Cycle Review – Option 4 of 4,[],15,false,null,null,null,a5f477c8-4e0a-47f5-87c4-f52cee393054,[],2018-01-12T18:45:00Z,0,false
[],2018-01-15T11:45:00Z,https://cerner.rev.vbrick.com/#/events/dff8b2cc-6974-4dca-ae02-2fc2fd4ead6c,,Private,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test,[],15,false,null,null,null,dff8b2cc-6974-4dca-ae02-2fc2fd4ead6c,[],2018-01-15T10:20:00Z,0,false
[],2018-01-16T08:30:00Z,https://cerner.rev.vbrick.com/#/events/76277fa9-b874-4fcd-9263-7419fe6f28c1,,AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test,[],15,false,null,null,null,76277fa9-b874-4fcd-9263-7419fe6f28c1,[],2018-01-16T04:30:00Z,0,false
